variableName,labelLong,validCat,invalidDevelopment,missingDevelopment,developmentMinMale,developmentMinFemale,developmentMaxMale,developmentMaxFemale,outlierMethodDevelopment,centre,type,categories,dummy,displayOrder,labelOrder,missingDeployment,outlierMethodDeployment
BB6_cat5,Education,variableCategories,missing,AregImpute,,,,,,yes,cat,5,yes,1,102,mean,
J1A_cat2,Disease Diagnosis Cerebrovbascular Accident (Stroke),variableCategories,missing,AregImpute,,,,,,yes,cat,2,yes,2,201,mean,
J1B_cat2,Disease Diagnosis Congestive Heart Failure,variableCategories,missing,AregImpute,,,,,,yes,cat,2,yes,2,202,mean,
J1C_cat2,Disease Diagnosis Coronary Heart Disease,variableCategories,missing,AregImpute,,,,,,yes,cat,2,yes,2,204,mean,
J1D_cat2,Disease Diagnosis Hypertension,variableCategories,missing,AregImpute,,,,,,yes,cat,2,yes,2,206,mean,
J1DE_cat2,Disease Diagnosis Dementia/Alzeihemers,variableCategories,missing,AregImpute,,,,,,yes,cat,2,yes,2,205,mean,
J1K_cat2,Disease Diagnosis Multiple Sclerosis,variableCategories,missing,AregImpute,,,,,,yes,cat,2,yes,2,207,mean,
J1L_cat2,Disease Diagnosis-Parkinsonism,variableCategories,missing,AregImpute,,,,,,yes,cat,2,yes,2,208,mean,
K2E_cat2,Problem Conditions Present on Two or More days Vomiting,variableCategories,missing,AregImpute,,,,,,yes,cat,2,yes,4,406,mean,
K3D_cat2,Problem Conditions Edema,variableCategories,missing,AregImpute,,,,,,yes,cat,2,yes,4,401,mean,
K3E_cat2,ProblemÂ  Conditions Shortness of Breath,variableCategories,missing,AregImpute,,,,,,yes,cat,2,yes,4,404,mean,
L1A_cat2,Weight-Weight Loss,variableCategories,missing,AregImpute,,,,,,yes,cat,2,yes,4,405,mean,
L2C_cat2,Consumption-Insufficient Fluid,variableCategories,missing,AregImpute,,,,,,yes,cat,2,yes,4,402,mean,
L2B_cat2,Consumption - Noticeable Decrease in Amount of Food or Fluids Consumed,variableCategories,missing,AregImpute,,,,,,yes,cat,2,yes,4,403,mean,
B2B_cat2,Cognitive Skills-Worsening Decision Making,variableCategories,missing,AregImpute,,,,,,yes,cat,2,yes,3,304,mean,
H3_cat2,ADL Decline,variableCategories,missing,AregImpute,,,,,,yes,cat,2,yes,3,303,mean,
IADL_cat7,Instrumental Activities of Daily Living (IADL) Difficulty Scales,variableCategories,missing,AregImpute,,,,,,yes,cat,7,yes,3,302,mean,
ADL_cat7,Activities of Daily Living (ADL) Scales: Self-Performance Hierarchy,variableCategories,missing,AregImpute,,,,,,yes,cat,7,yes,3,301,mean,
P4A_cat4,Visits in last 90 days (or since last assessment)-Number of Overnight Hospital Admissions,variableCategories,missing,AregImpute,,,,,,yes,cat,4,yes,5,502,mean,
P4B_cat4,Visits in last 90 days (or since last assessment)-Number of ER Visits Without an Overnight Stay,variableCategories,missing,AregImpute,,,,,,yes,cat,4,yes,5,501,mean,
Renal_cat4,Renal Failure and Dialysis Indication,variableCategories,missing,AregImpute,,,,,,yes,cat,4,yes,2,211,mean,
Oxygen_cat6,COPD/Ashma/Emphysema and Oxygen Indication,variableCategories,missing,AregImpute,,,,,,yes,cat,6,yes,2,210,mean,
Cancer_cat6,Cancer and Chemotherapy Indication,variableCategories,missing,AregImpute,,,,,,yes,cat,6,yes,2,209,mean,
A2_cat5,Reason for Assessment,variableCategories,missing,AregImpute,,,,,,yes,cat,5,yes,6,601,mean,
K8E_cat2,Health Status Indicators-Prognosis Status of less than Six Months to Live,variableCategories,missing,AregImpute,,,,,,yes,cat,2,yes,6,602,mean,
A1_cat7,Year of Assessment,variableCategories,missing,AregImpute,,,,,,yes,cat,7,yes,6,603,mean,
Age_cont,Age,inf,delete,delete,50,120,50,120,delete,yes,RCS4,,no,1,101,error,"[developmentMin, developmentMax]"
Sex_cat2,Sex,variableCategories,delete,delete,,,,,,yes,cat,2,yes,1,102,error,