dataHoldingStart,dataHolding,dataHoldingCategories,categories,variableName,labelLong,label,units,type,variableType,variableCategories,algorithm
BB6,RAI-HC,9,5,BB6_cat5,Education,Education,,Demographic,Categorical,[0:4],RESPECT-EOL_V1
J1A,RAI-HC,3,2,J1A_cat2,Disease Diagnosis Cerebrovbascular Accident (Stroke),Stroke,,Disease,Categorical,[0:1],RESPECT-EOL_V1
J1B,RAI_HC,3,2,J1B_cat2,Disease Diagnosis Congestive Heart Failure,Congestive Heart Failure,,Disease,Categorical,[0:1],RESPECT-EOL_V1
J1C,RAI_HC,3,2,J1C_cat2,Disease Diagnosis Coronary Heart Disease,Coronary Heart Diseases,,Disease,Categorical,[0:1],RESPECT-EOL_V1
J1D,RAI_HC,3,2,J1D_cat2,Disease Diagnosis Hypertension,Hypertension,,Disease,Categorical,[0:1],RESPECT-EOL_V1
"J1G,J1H",RAI_HC,"                   3,3",2,J1DE_cat2,Disease Diagnosis Dementia/Alzeihemers,Dementia/Alzeihemers,,Disease,Categorical,[0:1],RESPECT-EOL_V1
J1K,RAI-HC,3,2,J1K_cat2,Disease Diagnosis Multiple Sclerosis,Multiple Sclerosis,,Disease,Categorical,[0:1],RESPECT-EOL_V1
J1L,RAI-HC,3,2,J1L_cat2,Disease Diagnosis-Parkinsonism,Parkinsons,,Disease,Categorical,[0:1],RESPECT-EOL_V1
K2E,RAI_HC,2,2,K2E_cat2,Problem Conditions Present on Two or More days Vomiting,Vomiting,,Symptom,Categorical,[0:1],RESPECT-EOL_V1
K3D,RAI_HC,2,2,K3D_cat2,Problem Conditions Edema,Edema,,Symptom,Categorical,[0:1],RESPECT-EOL_V1
K3E,RAI_HC,2,2,K3E_cat2,ProblemÂ  Conditions Shortness of Breath,Shortness of Breath,,Symptom,Categorical,[0:1],RESPECT-EOL_V1
L1A,RAI-HC,2,2,L1A_cat2,Weight-Weight Loss,Weight Loss,,Symptom,Categorical,[0:1],RESPECT-EOL_V1
L2C,RAI-HC,2,2,L2C_cat2,Consumption-Insufficient Fluid,Insufficient Fluid,,Symptom,Categorical,[0:1],RESPECT-EOL_V1
L2B,RAI_HC,2,2,L2B_cat2,Consumption - Noticeable Decrease in Amount of Food or Fluids Consumed,Decrease in Food and Fluid,,Symptom,Categorical,[0:1],RESPECT-EOL_V1
B2B,RAI_HC,2,2,B2B_cat2,Cognitive Skills-Worsening Decision Making,Worsening Decision Making,,Function,Categorical,[0:1],RESPECT-EOL_V1
H3,RAI-HC,2,2,H3_cat2,ADL Decline,ADL Decline,,Function,Categorical,[0:1],RESPECT-EOL_V1
IADL_DIFF,RAI-HC,7,7,IADL_cat7,Instrumental Activities of Daily Living (IADL) Difficulty Scales,Instrumental Activities of Daily Living (IADL),,Function,Categorical,[0:6],RESPECT-EOL_V1
ADL_SELF,RAI_HC,7,7,ADL_cat7,Activities of Daily Living (ADL) Scales: Self-Performance Hierarchy,Activities of Daily Living (ADL),,Function,Categorical,[0:6],RESPECT-EOL_V1
P4A,RAI_HC,Num,4,P4A_cat4,Visits in last 90 days (or since last assessment)-Number of Overnight Hospital Admissions,Hospital Admissions,,Health Care,Categorical,[0:3],RESPECT-EOL_V1
P4B,RAI_HC,Num,4,P4B_cat4,Visits in last 90 days (or since last assessment)-Number of ER Visits Without an Overnight Stay,Emergency Room Visits ,,Health Care,Categorical,[0:3],RESPECT-EOL_V1
"J1AA,P2G",RAI-HC,"3,4",4,Renal_cat4,Renal Failure and Dialysis Indication,Renal Failure,,Disease,Categorical,[0:5],RESPECT-EOL_V1
"P2A,P2B,P2C,J1Z",RAI-HC,"4,4,4,3",6,Oxygen_cat6,COPD/Ashma/Emphysema and Oxygen Indication,COPD and Dyspena,,Disease,Categorical,[0:5],RESPECT-EOL_V1
"P2F,J1X",RAI-HC,"4,3",6,Cancer_cat6,Cancer and Chemotherapy Indication,Cancer,,Disease,Categorical,[0:5],RESPECT-EOL_V1
A2,RAI_HC,7,5,A2_cat5,Reason for Assessment,Reason for Assessment,,Assessment,Categorical,[0:4],RESPECT-EOL_V1
K8E,RAI_HC,2,2,K8E_cat2,Health Status Indicators-Prognosis Status of less than Six Months to Live,Six Month Prognosis,,Assessment,Categorical,[0:1],RESPECT-EOL_V1
A1,RAI_HC,Num,7,A1_cat7,Year of Assessment,Year of Assessment,,Assessment,Categorical,[0:6],RESPECT-EOL_V1
Age,RPDB,Num,,Age_cont,Age,Age,years,Demographic,Continuous,INF,RESPECT-EOL_V0
Sex,RAI-HC,4,2,Sex_cat2,Sex,Sex,,Demographic,Categorical,[0:1],RESPECT-EOL_V1